"filename", "language", "Markdown", "JSON", "XML", "C#", "HTTP", "comment", "blank", "total"
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Common\Interfaces\Persistence\IProductRepository.cs", "C#", 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Common\Interfaces\Persistence\IUserRepository.cs", "C#", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Common\Interfaces\Services\IDateTimeProvider.cs", "C#", 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Entities\User.cs", "C#", 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\MemberInfo.Domain.csproj", "XML", 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Models\AggregateRoot.cs", "C#", 0, 0, 0, 12, 0, 8, 8, 28
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Models\Entity.cs", "C#", 0, 0, 0, 29, 0, 16, 14, 59
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Models\ValueObject.cs", "C#", 0, 0, 0, 36, 0, 11, 18, 65
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Persons\Person.cs", "C#", 0, 0, 0, 72, 0, 3, 20, 95
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Persons\ValueObjects\Expiration.cs", "C#", 0, 0, 0, 22, 0, 0, 9, 31
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Persons\ValueObjects\PersonId.cs", "C#", 0, 0, 0, 22, 0, 0, 10, 32
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Products\Product.cs", "C#", 0, 0, 0, 60, 0, 0, 15, 75
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Products\ValueObjects\Price.cs", "C#", 0, 0, 0, 21, 0, 4, 8, 33
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Domain\Products\ValueObjects\ProductId.cs", "C#", 0, 0, 0, 20, 0, 0, 9, 29
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\Authentication\JwtSettings.cs", "C#", 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\Authentication\JwtTokenGenerator.cs", "C#", 0, 0, 0, 39, 0, 0, 5, 44
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\DependencyInjection.cs", "C#", 0, 0, 0, 51, 0, 0, 10, 61
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\MemberInfo.Infrastructure.csproj", "XML", 0, 0, 18, 0, 0, 0, 0, 18
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\Persistence\MemberInfoDbContext.cs", "C#", 0, 0, 0, 18, 0, 0, 8, 26
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\Persistence\ProductRepository.cs", "C#", 0, 0, 0, 18, 0, 1, 5, 24
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\Persistence\UserRepository.cs", "C#", 0, 0, 0, 15, 0, 0, 5, 20
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\MemberInfo.Infrastructure\Services\DateTimeProvider.cs", "C#", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\README.md", "Markdown", 49, 0, 0, 0, 0, 0, 11, 60
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\Requests\Authorization\Login.http", "HTTP", 0, 0, 0, 0, 7, 0, 4, 11
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\Requests\Authorization\Register.http", "HTTP", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\ibrah\GitRepos\GymMembershipWebApi\Requests\Product\CreateProduct.http", "HTTP", 0, 0, 0, 0, 23, 0, 3, 26
"Total", "-", 120, 60, 71, 1347, 39, 71, 463, 2171
